id,kennel_id,name,address,city,state,zip_code,county,township,license_number,last_status,last_issued_license_year,last_license_class,details_url,created_at,updated_at
542,18582,"Noah's Ark Rescue Project and Sanctuary",392 Benjamin Franklin Highway East,,PA,,BERKS,Amity,18716,Closed - Voluntarily,2024,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18582,2025-12-18 14:57:59,2025-12-18 14:57:59
543,284,Norweim Kennel,604 Old Fritztown Road,,PA,,BERKS,Spring,01290,Closed - Voluntarily,2021,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/284,2025-12-18 14:57:59,2025-12-18 14:57:59
544,5471,Norwood LLC,50 Camp Strauss Rd,,PA,,BERKS,Bethel,06727,Closed - Voluntarily,2025,CK1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/5471,2025-12-18 14:58:00,2025-12-18 14:58:00
545,15895,Orchard Hill Cavaliers,1053 Faller Lane,,PA,,BERKS,Bern,17033,Open,2025,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15895,2025-12-18 14:58:00,2025-12-18 14:58:00
546,17313,PA Pit Stop Inc,322 New Holland Avenue,,PA,,BERKS,Shillington,17451,Open,2025,HS: Humane Society,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/17313,2025-12-18 14:58:00,2025-12-18 14:58:00
547,287,Peacock Bridge Kennels Inc,1411 Cross Keys Road,,PA,,BERKS,Bern,01293,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/287,2025-12-18 14:58:00,2025-12-18 14:58:00
548,288,Peacock Bridge Kennels Inc,1411 Cross Keys Road,,PA,,BERKS,Bern,01294,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/288,2025-12-18 14:58:01,2025-12-18 14:58:01
549,18112,Perfect Match Pet Shop,4274 Perkiomen Avenue,,PA,,BERKS,Exeter,18247,Closed - Voluntarily,2024,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/18112,2025-12-18 14:58:01,2025-12-18 14:58:01
550,3865,"Perkiomen Animal Hospital, PLLC",919 Gravel Pike,,PA,,BERKS,Hereford,05180,Open,2026,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3865,2025-12-18 14:58:01,2025-12-18 14:58:01
551,11772,Pet Supplies Plus #9025,538 E. Lancaster Avenue,,PA,,BERKS,,12954,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/11772,2025-12-18 14:58:01,2025-12-18 14:58:01
552,11771,Pet Supplies Plus #9048,1764 Tilden Ridge Dr.,,PA,,BERKS,,12953,Open,2026,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/11771,2025-12-18 14:58:02,2025-12-18 14:58:02
553,15584,Pet Valu 5141,212 Crossings Blvd.,,PA,,BERKS,,16728,Closed - Voluntarily,2020,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15584,2025-12-18 14:58:02,2025-12-18 14:58:02
554,15596,Pet Valu 5158,2645 Shillington Road,,PA,,BERKS,,16740,Closed - Voluntarily,2020,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15596,2025-12-18 14:58:02,2025-12-18 14:58:02
555,4996,Petco #1734,2765 Papermill Rd,,PA,,BERKS,,06260,Open,2025,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/4996,2025-12-18 14:58:02,2025-12-18 14:58:02
556,4995,Petco #1895,4607 Perkiomen Ave,,PA,,BERKS,,06259,Open,2025,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/4995,2025-12-18 14:58:03,2025-12-18 14:58:03
557,3206,PetSmart Inc #1221,1183 Berkshire Boulevard,,PA,,BERKS,,04523,Open,2025,K4: 151-250 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3206,2025-12-18 14:58:03,2025-12-18 14:58:03
558,3807,PetSmart Inc #1644,4210 5th Street Highway,,PA,,BERKS,,05122,Open,2025,K3: 101-150 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3807,2025-12-18 14:58:03,2025-12-18 14:58:03
559,15088,Pin Oaks,8501 Old 22,,PA,,BERKS,Bethel,16237,Closed - Voluntarily,2024,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/15088,2025-12-18 14:58:03,2025-12-18 14:58:03
560,289,Pinecrest Kennel,323 Schweitz Road,,PA,,BERKS,Rockland,01295,Closed - Voluntarily,2018,BK1: 1-10 dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/289,2025-12-18 14:58:04,2025-12-18 14:58:04
561,290,Pinecrest Kennel,323 Schweitz Road,,PA,,BERKS,Rockland,01296,Closed - Voluntarily,2018,K1: 50 dogs or less per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/290,2025-12-18 14:58:04,2025-12-18 14:58:04
562,2900,"Purr-Fect Purr-Sonalities, Inc.",57 Moser Lane,,PA,,BERKS,Ruscombmanor,04170,Closed - Voluntarily,2018,K2: 51-100 dogs per year,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/2900,2025-12-18 14:58:04,2025-12-18 14:58:04
563,3007,"Purr-Fect Purr-Sonalities, Inc.",57 Moser Lane,,PA,,BERKS,Ruscombmanor,04296,Open,2025,BK3: 26 or more dogs at any time,https://www.pda.pa.gov/PADogLawPublicKennelInspectionSearch/KennelInspections/Details/3007,2025-12-18 14:58:04,2025-12-18 14:58:04
